0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:12 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:13 +0100] "GET /essentials/tool/galleryPlugin/galleryPlugin.html HTTP/1.1" 200 15057
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:13 +0100] "GET /essentials/rest/project/coordinates HTTP/1.1" 200 3643
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:13 +0100] "GET /essentials/rest/dynamic/galleryplugin HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/pages/tools.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/rest/project/settings HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/rest/project/settings HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/images/icons/bean-writer.png HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/images/icons/gallery-manager.png HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/images/icons/rest-services.png HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:20 +0100] "GET /essentials/images/icons/selections.png HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:29 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:37 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:45 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:11:53 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:01 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:09 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:17 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:25 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:32 +0100] "GET /site/_rp/cafebabe-cafe-babe-cafe-babecafebabe./keepalive HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:33 +0100] "GET /cms/auth?destinationPath=/site/_rp/cafebabe-cafe-babe-cafe-babecafebabe./keepalive&cmsCSID=f53bfc08-e486-4068-b4b8-af053fc6b752 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:33 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:35 +0100] "GET /cms/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:35 +0100] "GET /cms/?0 HTTP/1.1" 200 6154
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:42 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:50 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:12:59 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:07 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:15 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:23 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:31 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:39 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:47 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:13:55 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:03 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:09 +0100] "GET /cms/?1-1.IBehaviorListener.0-root-activeLogout&_=1511631808221 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:09 +0100] "GET /cms/?0 HTTP/1.1" 200 6161
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:10 +0100] "GET /cms/skin/hippo-cms/css/hippo-cms-theme.min.css?antiCache=RTwRUuPLsNcd0iUnQl-FxA__ HTTP/1.1" 200 20031
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:11 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:14:19 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
